y,yp
     0.00,     0.03
     3.19,     0.44
     0.00,     0.11
     0.07,     0.05
     0.00,     0.36
     0.00,     0.03
     0.00,     0.22
     0.00,     0.00
     0.00,     0.51
     0.09,     0.05
     0.00,     0.00
     0.00,     3.52
     0.06,     0.10
     0.00,     0.00
     0.06,     0.06
     0.32,     0.28
     0.03,     0.00
     0.00,     0.00
     0.05,     0.14
     0.20,     0.16
     0.00,     0.00
     0.02,     0.11
     0.00,     0.09
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.29,     0.14
     0.08,     0.15
     0.00,     0.00
     0.13,     0.13
     0.00,     0.00
     0.00,     0.01
     0.00,     0.05
     0.00,     0.00
     0.00,     0.00
     0.00,     0.87
     0.00,     0.14
     0.00,     0.00
     0.00,     0.08
     0.00,     0.00
     0.00,     0.00
     0.05,     0.09
     0.04,     0.07
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
    10.00,     0.00
     0.00,     0.09
     0.00,     0.01
     0.00,     0.27
     0.00,     0.66
     0.00,     0.13
     0.23,     0.20
     0.02,     0.07
     0.00,     0.00
     0.27,     0.12
     0.00,     0.01
     0.00,     0.00
     0.04,     0.04
     0.15,     0.10
     0.00,     0.00
     0.00,     0.03
     0.00,     0.11
     0.00,     0.46
     0.00,     0.00
     0.08,     0.21
     0.02,     0.00
     0.00,     0.00
     1.25,     0.67
     0.07,     0.10
     0.00,     0.00
     0.22,     0.16
     0.00,     0.00
     0.00,     0.00
     0.00,     0.34
     1.01,     0.89
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.04
     0.07,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.39,     0.12
     1.40,     1.13
     0.00,     0.00
     0.00,     0.11
     0.00,     0.15
     0.08,     0.06
     0.00,     0.07
     0.59,     0.25
     0.00,     0.05
    32.00,     7.69
     0.00,     0.00
     0.19,     0.22
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.02
     0.00,     0.00
     0.02,     0.00
     0.11,     0.07
     0.00,     0.00
     0.00,     0.00
     0.11,     0.04
     0.00,     0.09
     0.00,     0.00
     0.35,     0.10
     5.00,     0.15
     0.00,     0.00
     0.00,     0.00
     0.87,     0.22
     0.00,     0.19
     0.00,     0.00
     0.00,     0.09
     0.01,     0.10
     0.06,     0.00
     0.34,     0.25
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
    10.00,     1.92
     1.56,     0.11
     0.00,     5.66
     0.00,     0.00
     0.02,     0.16
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.05,     0.07
     0.00,     0.00
     0.00,     0.15
     0.00,     0.00
     0.05,     0.25
    11.00,    11.19
     0.00,     0.00
     0.00,     0.04
     0.00,     0.00
     0.00,     0.73
     0.00,     0.00
     0.00,     0.00
     0.00,     0.01
     0.22,     0.17
     0.00,     0.00
     0.05,     0.19
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     4.00,     8.47
     0.19,     0.14
     0.00,     0.14
     0.00,     0.87
     0.00,     0.00
     0.07,     0.17
     0.03,     0.07
     0.15,     0.20
     0.00,     0.06
     0.06,     0.27
     0.34,     0.28
     0.00,     0.00
     0.00,     0.04
     0.00,     0.00
     0.00,     0.00
     0.00,     1.56
     0.85,     0.27
     0.00,     0.00
     0.00,     0.03
     0.00,     0.00
     0.09,     0.07
     0.00,     0.00
     0.06,     0.03
    11.25,    12.34
     0.00,     0.00
     0.11,     0.11
     0.00,     0.00
     0.00,     0.36
     0.06,     0.08
     0.00,    32.80
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     1.00,     1.79
     0.28,     0.00
     0.00,     0.05
     0.00,     0.07
     0.02,     0.11
     0.00,     0.00
     0.05,     0.19
     0.00,     0.00
     0.00,     0.00
     2.19,     1.74
     0.00,     0.00
     0.00,     0.12
     1.97,     1.07
     0.00,     0.00
     0.00,     0.04
     0.00,     0.00
     0.10,     0.14
     0.04,     0.20
     0.00,     0.00
     0.00,     0.01
     0.00,     0.00
     0.00,     0.08
     0.00,     0.00
     0.00,     0.00
     0.20,     0.18
     0.00,     1.02
     0.00,     0.00
     0.00,     0.24
     0.00,     0.03
     0.00,     0.00
     0.00,     0.00
     0.00,     0.11
     0.00,     0.00
     0.00,     0.19
     0.30,     0.13
     0.00,     0.07
     0.06,     0.10
     0.00,     0.00
     0.00,     0.00
     0.00,     0.01
     0.06,     0.00
     0.37,     0.28
     0.00,     0.00
     0.00,     0.00
     0.00,     9.50
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     5.00,     5.24
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.05
     0.41,     0.31
     0.00,     0.05
     0.00,     0.00
     0.00,     0.00
     0.00,     0.10
     0.15,     0.00
     0.00,     0.04
     0.00,     0.07
     0.00,     0.00
     0.00,     0.00
     0.04,     0.09
     0.00,     0.07
     0.00,     0.00
     0.23,     0.26
     0.03,     0.02
     0.06,     0.08
     0.09,     0.11
     0.00,     0.06
     0.00,     0.08
     0.00,    22.41
     0.00,     0.00
     0.15,     0.00
     0.20,     0.13
     1.00,     0.90
     0.60,     0.11
     0.00,     0.00
     0.00,     0.06
     0.00,     0.07
     3.00,     0.12
     0.12,     0.00
     0.00,     0.07
     0.00,     0.08
     0.00,     0.06
     0.48,     0.12
     0.29,     0.47
     0.00,     0.06
     0.00,     0.00
     0.00,     0.09
     0.00,     0.00
     0.00,     0.00
     0.00,     0.11
     0.23,     0.18
     0.00,     0.15
     0.24,     0.18
     0.00,     0.00
     0.00,     0.00
     0.00,     0.58
     0.00,     0.09
     0.12,     0.11
     0.00,     0.00
     0.12,     0.07
     0.00,     0.00
     0.01,     0.06
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.10,     0.08
     0.00,     0.00
     0.71,     0.60
     0.03,     0.19
     0.21,     0.08
     0.10,     0.11
     0.00,     0.06
     0.00,     0.00
     8.86,     9.18
     0.00,     0.00
    10.00,     1.68
     1.21,     0.43
     0.04,     0.10
    24.00,    12.17
     0.02,     0.14
     0.04,     0.11
     0.00,     0.00
     0.00,     0.05
     0.00,     0.10
     0.00,     0.22
     0.00,     0.15
     0.00,     0.03
    60.00,     3.23
     0.00,     0.07
     0.52,     0.45
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.04
     0.00,     0.00
     0.00,     0.00
     0.00,     0.21
     0.07,     0.09
     0.01,     0.15
     0.12,     0.17
     0.00,     0.03
     2.67,     2.78
     0.00,     0.00
     0.15,     0.20
     0.87,     0.77
     0.00,     0.00
     1.00,     0.01
     0.00,     0.00
     0.24,     0.13
     0.00,     0.02
     0.00,     0.12
     0.00,     0.02
     0.00,     0.00
     0.00,     0.10
     0.00,     0.00
     0.12,     0.20
     0.25,     0.28
     0.00,     0.16
     0.05,     0.06
     0.18,     0.03
     0.00,     0.00
     0.01,     0.00
     0.00,     0.00
     0.09,     0.00
     0.40,     0.13
     0.00,     0.00
     0.59,     0.17
     0.00,     0.00
     0.00,     0.00
     0.02,     0.00
     0.00,     0.00
     0.00,     0.00
     0.13,     0.23
     0.00,     0.00
     0.00,     0.00
     0.00,     0.27
