y,yp
     0.00,     0.09
     4.39,     0.33
     0.00,     0.00
     0.09,     0.01
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.16,     0.00
     0.00,     0.00
     0.00,     0.00
     5.04,     3.54
     0.00,     0.00
     4.37,     4.83
     0.91,     0.16
     0.00,     0.00
     0.00,     0.00
     0.06,     0.08
     2.76,     2.30
     0.00,     0.00
     0.05,     0.00
     0.00,     0.00
     0.00,     0.38
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.86,     0.29
     0.18,     0.24
     0.00,     0.00
     0.26,     0.51
     0.00,     0.00
     0.00,     4.67
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.80,     0.00
     2.01,     1.85
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.60
     0.00,     0.00
     0.00,     0.00
     0.00,     9.25
     0.00,     0.11
     0.74,     0.96
     1.06,     1.07
     0.00,     0.00
     5.43,     3.43
     0.00,     0.00
     0.00,     0.00
     0.09,     0.19
     3.61,     3.28
     0.00,     0.00
     0.00,     0.00
     0.00,     1.07
     0.00,     0.00
     0.00,     1.17
     0.20,     0.30
     0.05,     0.00
     0.00,     0.00
     3.30,     2.71
     0.37,     0.00
     0.00,     0.00
     0.29,     0.28
     0.00,     0.00
     0.00,     0.00
     0.00,     0.76
     3.69,     3.41
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.80,     0.75
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     5.26,     1.80
     0.00,     0.00
     0.00,     0.00
     0.00,     0.29
     0.00,     0.15
     2.26,     0.84
     0.00,     0.00
     1.05,     0.63
     0.00,     2.37
     0.00,     0.00
     0.00,     0.00
     2.05,     0.89
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
