y,yp
     0.00,     0.06
     0.02,     0.08
     0.00,     0.00
     0.17,     0.15
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.08,     0.05
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.01,     0.00
     0.10,     0.00
     1.82,     0.83
     0.00,     0.00
     0.88,     0.15
     0.10,     0.00
     0.00,     0.00
     0.14,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.33,     0.26
     0.16,     0.10
     0.00,     0.00
     0.11,     0.00
     0.00,     0.00
     0.00,     0.07
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.21,     0.00
     0.20,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.09,     0.00
     0.00,     0.10
     0.00,     0.00
     0.00,     0.00
     0.00,     0.42
     0.00,     0.00
     0.08,     0.00
     0.15,     0.01
     0.00,     0.04
     0.03,     0.00
     0.00,     0.00
     0.00,     0.00
     0.09,     0.00
     0.13,     0.06
     0.00,     0.00
     0.00,     0.00
     0.00,     0.03
     0.00,     0.00
     0.00,     0.00
     0.15,     0.11
     0.03,     0.00
     0.00,     0.00
     0.05,     0.09
     0.03,     0.00
     0.00,     0.00
     0.14,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.16
     0.19,     0.12
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.11,     0.06
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.04,     0.00
     0.01,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.04,     0.05
     0.00,     0.00
     0.24,     0.10
     0.00,     0.03
     0.08,     0.00
     0.00,     0.00
     0.17,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.04,     0.02
     0.07,     0.00
     0.00,     0.00
     0.00,     0.00
     1.27,     0.84
     0.00,     0.00
     0.00,     0.00
     0.24,     0.11
     0.02,     0.00
     0.00,     0.00
     0.00,     0.00
     0.09,     0.08
     0.00,     0.09
     0.00,     0.00
     0.00,     0.06
     0.01,     0.00
     0.03,     0.00
     0.25,     0.17
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
     0.00,     0.00
